id;type;text;file_path;seq_num
1;IMAGE;Games Guinea systems;Borders online Auto Loan Account;93345
2;PARA;compress value-added dynamic;core compress;36127
3;PARA;executive Handmade Plastic Pizza mint green;Dynamic Rustic Frozen Sausages overriding;91170
4;IMAGE;National card;Handcrafted Metal Chicken;4396
5;IMAGE;Shirt Christmas Island bypassing;Rand Loti system Rustic Cotton Bacon;18356
6;IMAGE;Granite;Central primary;66080
7;IMAGE;Web Representative;Rustic connecting copy;55238
8;IMAGE;multi-byte USB;Cambridgeshire Palladium;14041
9;IMAGE;bypassing open-source Cliffs;Programmable;26155
10;IMAGE;Mayotte viral;Well Manager maximize;34773
